addr,n,hold_med,train_pnl,hold_pnl,sharpe,t_stat,top_coin
0x25608292189bb759333d62bb2e776d32e997659d,2150,1196.7143,227766.40649987,33496.112784,33.39081053694403,10.652715419523206,@107
0x0e3f5bb797e3953fed2a319544d0e821b4a11e1c,10000,31.825516666666665,45943.67534265,23575.93661281,25.75969017983034,13.98285551193251,ETH
0x1005996ecc8896d01f4259d004a1c3bcc7e474ed,8771,19.008133333333333,48125.338911,19221.262542,24.87608507986013,13.84629842543286,HYPE
0x02159593e155250288a7a1dd5257fc217601ceee,9878,19.272475,85713.852379,35335.176778,24.43512973201626,13.80828583374874,HYPE
0xa8123bfb8301ebcd78c41d90e1ce9d3107ff1823,9173,18.905333333333335,62808.297607,25356.361687,24.381857831789514,13.976933271642762,HYPE
0x4221ae35dd1c468fea6fa034ffcd6360100f0eaa,3239,539.9849083333334,40996.837724,6279.964966,23.889619621821186,10.00699521281506,BTC
0xc16b8ddcef47a74c9b76cd28e6834270090d72dd,4024,1921.9747833333333,243117.196932,18878.3039,19.88646103051665,14.8714667859769,ZEC
0x1aa5b4b70b215371899a7ffa4f16053d5e5f4207,3497,6.313383333333333,11085.073513,957.20099519,18.375143951957607,8.42956751152059,xyz:SILVER
0xfed459402e31f2e16260f2d89cd8e654498d35f1,3953,141.010075,15228.182552,5234.746512,16.82492355256119,8.59715953879526,HYPE
0x3bbe8e02f72b10c9698a6e4375b5a19e53fc5b40,10308,150.11959166666668,100978.84253913,46886.880279,16.245507912291096,6.203550677897084,HYPE
0x9bd64263248752d128cbdfd3f64f69f135dd4ec2,10000,260.78638333333333,51403.260514300004,65917.2473222,15.921957428781717,12.107355441407401,hyna:HYPE
0x9db82c502472d76742fdd69609dfcc6e01327401,8000,282.1895333333333,41489.43961646,9748.7012924,15.320790226873076,3.9514840317678543,xyz:CL
0x5e77acddecd858d296ea1fbc7c6c169559f072b7,717,30.3751,20279.88042251,14090.63128619,14.290385465092895,11.350861812161408,@107
0xb65dd7c56afbf3b272ab5fc49be44b47dca18003,2640,85.06578333333333,1373.893929,1352.749949,14.144685011947926,8.630717926959516,SOL
0xfb51e66f1923b3a316bc81f2a435824c254d0fc6,4252,322.30375833333335,28999.966801,15304.987939,13.402014882824336,8.313101562530766,BTC
0x6b7031ef5b01446a4cd859d51cbf359debde2633,4129,418.8804666666667,110660.7526429,3677.31347794,13.120049242638954,1.558620109909503,xyz:TSLA
0x8e9c5b74a5c0eda6942a632cc7ba93fcaa66a0c0,2560,75.693725,8197.33544401,39392.824045,13.087242732938732,11.268164506504274,XRP
0xd9ffc44a03241faafd27a702e0deb00d7b2cfdcf,2987,36.683233333333334,30639.85807765,8216.656866,13.071497434437841,6.1901120312186535,ETH
0x04a97ae7f350a22cd0cdb6b1875e8905b76495aa,4048,107.38676666666666,256201.152247,40470.1,12.658237701144106,4.623459024265047,BTC
0x129f8031ada05d2ae924ee813bde2f71cf198c75,963,35.79865,1205.247037,969.780768,12.430263884840278,8.252754023458367,HYPE
0x11eee2e0a613af4f636e23ff295e2dac6a191d1d,8288,68.75185833333333,170495.70208223,57102.60195604,11.851913849979441,6.435075013143592,HYPE
0x9417f0013ad79427249dc7be79eb31acad7fa3df,2719,88.04930833333333,11189.77734202,6408.44953663,11.695436711024701,5.402707397071002,ETH
0x5d9d19a3e5005225f13780fa10c198f87816670d,5453,1052.161575,67760.31561043,72017.30228769,11.37112032922204,7.8678175231794425,HYPE
