addr,n,hold_med,hold_count,train_n,train_pnl,hold_n,hold_pnl,total_pnl,ev_per_fill,sharpe,max_dd,wr_fill,avg_notional,ev_per_dollar,trades_per_day,span_days,top_coin,top_coin_pct,long_short_ratio,t_stat
0x25608292189bb759333d62bb2e776d32e997659d,2150,1196.7143,6,1660,227766.40649987,490,33496.112784,261262.51928387,121.51745082970697,33.39081053694403,535.1546119500126,98.75457875457876,736.6712163322695,0.16495479684236436,24.292479329457937,88.50475782407408,@107,56.13953488372093,448.0,10.652715419523206
0x0e3f5bb797e3953fed2a319544d0e821b4a11e1c,10000,31.825516666666665,167,6568,45943.67534265,3432,23575.93661281,69519.61195546,6.951961195546,25.75969017983034,805.3699999999953,96.35596471039509,6615.680511013851,0.0010508308531484109,132.0758149389054,75.71408894675926,ETH,72.38,1.308673469387755,13.98285551193251
0x1005996ecc8896d01f4259d004a1c3bcc7e474ed,8771,19.008133333333333,1648,6168,48118.971302,2603,19227.630151,67346.601453,7.678326468247634,24.87608507986013,7490.944287000013,64.37255753365176,932.737439255501,0.008232034166417051,97.53767612002673,89.92422568287037,HYPE,100.0,4163.0,13.844381684321162
0x02159593e155250288a7a1dd5257fc217601ceee,9878,19.272475,1620,6908,85732.64657,2970,35316.382587,121049.029157,12.254406677161368,24.43512973201626,14671.143336999992,65.19823788546256,1477.9440475126544,0.008291522739162725,109.69362072599468,90.0508154861111,HYPE,100.0,4657.0,13.795561675895742
0xa8123bfb8301ebcd78c41d90e1ce9d3107ff1823,9173,18.905333333333335,1647,6383,62810.056365,2790,25354.602929,88164.659294,9.611322282132345,24.381857831789514,10675.617702000007,64.52086391276997,1178.4489459773247,0.008155908930073652,101.9686209214489,89.95904737268519,HYPE,100.0,4404.0,13.968722145140152
0x4221ae35dd1c468fea6fa034ffcd6360100f0eaa,3239,539.9849083333334,204,2270,40996.837724,969,6279.964966,47276.80269,14.596110740969435,23.889619621821186,142.72158100002707,81.88194038573933,146.0348882834208,0.0999494772279462,36.44102633995552,88.88333631944444,BTC,41.062056190182155,0.0,10.00699521281506
0xc16b8ddcef47a74c9b76cd28e6834270090d72dd,4024,1921.9747833333333,4,3853,243117.196932,171,18878.3039,261995.500832,65.1082258528827,19.88646103051665,9506.87999999999,90.82352941176471,673.4592829540259,0.09667730106458025,56.04848082937158,71.79498784722222,ZEC,42.04771371769384,1.0686274509803921,14.8714667859769
0x1aa5b4b70b215371899a7ffa4f16053d5e5f4207,3497,6.313383333333333,199,3143,10999.053353,354,1043.22115519,12042.27450819,3.443601517926794,18.375143951957607,409.7199999999998,96.11708482676225,1340.193822719474,0.002569480219614175,45.10530798645684,77.5296779050926,xyz:SILVER,52.47354875607664,2.383742911153119,8.809203096093263
0xfed459402e31f2e16260f2d89cd8e654498d35f1,3953,141.010075,348,3055,14945.182552,898,5517.746512,20462.929064,5.176556808499874,16.82492355256119,88.5629899999999,94.26349052017501,2078.37376244169,0.0024906765578191353,44.787502820946244,88.26122804398148,HYPE,63.62256514039969,0.5588477366255145,8.510332116674682
0x9bd64263248752d128cbdfd3f64f69f135dd4ec2,10000,260.78638333333333,111,6810,51403.260514300004,3190,65917.2473222,117320.5078365,11.73205078365,15.921957428781717,945.0270764699962,93.19767441860465,2327.5885756797147,0.005040431503331272,124.6369936200673,80.23300072916666,hyna:HYPE,47.02,853.0,12.107355441407401
